time,angle,velocity,torque,control
1.700000,1.862936,-0.010015,0.181111,0.000000
1.710000,1.862936,-0.004396,-0.084564,0.000000
1.720000,1.862936,-0.001426,0.376756,0.000000
1.730000,1.862936,-0.011502,-0.071294,0.000000
1.740000,1.862936,-0.010199,0.259623,0.000000
1.750000,1.862936,0.004396,-0.117435,0.000000
1.760000,1.862936,-0.007130,-0.019869,0.000000
1.770000,1.862936,-0.001817,0.078405,0.000000
1.780000,1.862936,-0.004396,-0.372211,0.000000
1.790000,1.862936,-0.004396,-0.383083,0.000000
1.800000,1.862936,0.000915,-0.020492,0.000000
1.810000,1.862936,-0.004396,0.092308,0.000000
1.820000,1.862936,0.000598,-0.320249,0.000000
1.830000,1.862936,0.001109,0.406904,0.000000
1.840000,1.862936,-0.009476,-0.189408,0.000000
1.850000,1.862936,-0.004396,0.092308,0.000000
1.860000,1.862936,-0.003463,-0.176231,0.000000
1.870000,1.862936,0.003428,-0.030769,0.000000
1.880000,1.862936,-0.004396,-0.157426,0.000000
1.890000,1.862936,-0.000935,-0.103439,0.000000
1.900000,1.862936,-0.007575,0.160389,0.000000
1.910000,1.862936,-0.008784,-0.277495,0.000000
1.920000,1.862936,-0.013187,-0.069249,0.000000
1.930000,1.862936,0.009496,-0.523077,0.000000
1.940000,1.862936,-0.004396,-1.083178,0.000000
1.950000,1.862936,-0.004396,-1.472314,0.000000
1.960000,1.862936,-0.007367,0.088898,0.000000
1.970000,1.862936,-0.004396,-0.206463,0.000000
1.980000,1.862936,-0.008239,0.090457,0.000000
1.990000,1.862936,-0.009123,-0.125401,0.000000
2.000000,1.862936,-0.004396,0.008960,0.000000
2.010000,1.862936,-0.005667,-0.136049,0.000000
2.020000,1.862936,-0.011391,0.214068,0.000000
2.030000,1.862936,-0.004396,-0.030769,0.000000
2.040000,1.862936,-0.004396,-0.030769,0.000000
2.050000,1.862936,-0.011897,-0.053349,0.000000
2.060000,1.862936,-0.004396,-0.068085,0.000000
2.070000,1.862936,-0.013182,-0.215224,0.000000
2.080000,1.862936,-0.009268,0.406300,0.000000
2.090000,1.862936,-0.009854,-0.223836,0.000000
2.100000,1.862936,0.003671,-0.030769,0.000000
2.110000,1.862936,-0.004396,0.138602,0.000000
2.120000,1.862936,0.002973,-0.548375,0.000000
2.130000,1.862936,-0.007085,-0.058278,0.000000
2.140000,1.862936,0.001532,-0.784877,0.000000
2.150000,1.862936,-0.004396,-0.100942,0.000000
2.160000,1.862936,-0.004396,-0.283870,0.000000
2.170000,1.862936,-0.013187,-0.325752,0.000000
2.180000,1.862936,-0.004396,-0.179018,0.000000
2.190000,1.862936,-0.004396,0.211199,0.000000
2.200000,1.862936,-0.013199,-0.071913,0.000000
2.210000,1.862936,-0.007653,-0.108237,0.000000
2.220000,1.862936,0.000588,0.451357,0.000000
2.230000,1.862936,-0.013187,0.124137,0.000000
2.240000,1.862936,-0.009176,0.303855,0.000000
2.250000,1.862936,0.000424,0.189717,0.000000
2.260000,1.862936,-0.010313,-0.669808,0.000000
2.270000,1.862936,-0.013187,-0.143360,0.000000
2.280000,1.862936,-0.004396,-0.386770,0.000000
2.290000,1.862936,-0.004396,-0.030769,0.000000
2.300000,1.862936,-0.006259,0.357210,0.000000
2.310000,1.862936,-0.004396,-0.056112,0.000000
2.320000,1.862936,0.001857,0.283808,0.000000
2.330000,1.862936,-0.003249,0.097774,0.000000
2.340000,1.862936,-0.004396,-1.037280,0.000000
2.350000,1.862936,-0.000912,-0.195644,0.000000
2.360000,1.862936,-0.004396,-0.005234,0.000000
2.370000,1.862936,-0.004396,0.288407,0.000000
2.380000,1.862936,-0.009734,0.164808,0.000000
2.390000,1.862936,0.002217,-0.200135,0.000000
2.400000,1.862936,-0.004396,0.374259,0.000000
2.410000,1.862936,-0.010138,0.132506,0.000000
2.420000,1.862936,-0.000221,-1.039115,0.000000
2.430000,1.862936,-0.004396,-0.002403,0.000000
2.440000,1.862936,-0.005789,-0.030769,0.000000
2.450000,1.862936,-0.006384,-0.227112,0.000000
2.460000,1.862936,0.003827,-0.211403,0.000000
2.470000,1.862936,-0.005503,-0.084559,0.000000
2.480000,1.862936,0.003016,0.076612,0.000000
2.490000,1.862936,0.004396,-0.078422,0.000000
2.500000,1.862936,0.003986,-0.189584,0.000000
2.510000,1.862936,-0.004396,0.068532,0.000000
2.520000,1.862936,0.000089,-0.185240,0.000000
2.530000,1.862936,-0.004213,0.174285,0.000000
2.540000,1.862936,-0.004396,0.214805,0.000000
2.550000,1.862936,0.009022,0.017825,0.000000
2.560000,1.862936,-0.001140,0.333895,0.000000
2.570000,1.862936,-0.006107,-0.526354,0.000000
2.580000,1.862936,-0.003437,0.255665,0.000000
2.590000,1.862936,0.000622,0.329467,0.000000
2.600000,1.862936,-0.011281,-0.245068,0.000000
2.610000,1.862936,-0.004396,0.135570,0.000000
2.620000,1.862936,-0.004396,0.154834,0.000000
2.630000,1.862936,-0.004396,-0.213615,0.000000
2.640000,1.862936,0.004396,0.150529,0.000000
2.650000,1.862936,-0.004396,-0.127123,0.000000
2.660000,1.862936,-0.004396,0.076043,0.000000
2.670000,1.862936,-0.001065,-0.032664,0.000000
2.680000,1.862936,0.002753,0.103808,0.000000
2.690000,1.862936,-0.021664,0.331866,0.000000
2.700000,1.862936,-0.004396,-0.012070,0.000000
2.710000,1.862936,-0.004396,-0.119990,0.000000
2.720000,1.862936,-0.004396,1.107119,0.000000
2.730000,1.862936,-0.004396,-0.696920,0.000000
2.740000,1.862936,-0.004396,0.092308,0.000000
2.750000,1.862936,0.008635,-0.211021,0.000000
2.760000,1.862936,0.001970,-0.064727,0.000000
2.770000,1.862936,-0.004396,0.248338,0.000000
2.780000,1.862936,-0.004396,-0.318414,0.000000
2.790000,1.862936,0.004396,0.120045,0.000000
2.800000,1.862936,-0.020908,0.054874,0.000000
2.810000,1.862936,0.000871,0.005798,0.000000
2.820000,1.862936,-0.003024,-0.290473,0.000000
2.830000,1.862936,-0.007048,0.436066,0.000000
2.840000,1.862936,0.007460,-0.130991,0.000000
2.850000,1.862936,-0.013187,-0.203566,0.000000
2.860000,1.862936,-0.004396,-0.197751,0.000000
2.870000,1.862936,-0.004396,0.270528,0.000000
2.880000,1.862936,-0.007468,-0.273944,0.000000
2.890000,1.862936,0.003456,-0.024191,0.000000
2.900000,1.862936,-0.003522,-0.338462,0.000000
2.910000,1.862936,-0.004396,-0.189940,0.000000
2.920000,1.862936,0.003323,-0.647611,0.000000
2.930000,1.862936,0.001456,-0.133670,0.000000
2.940000,1.862936,-0.004396,0.147087,0.000000
2.950000,1.862936,-0.004396,-0.335619,0.000000
2.960000,1.862936,-0.004396,-0.283030,0.000000
2.970000,1.862936,0.013187,0.114069,0.000000
2.980000,1.862936,-0.004396,0.286473,0.000000
2.990000,1.862936,-0.001167,-0.026929,0.000000
3.000000,1.862936,-0.004396,0.652648,0.000000
3.010000,1.862936,-0.014457,-0.074991,0.000000
3.020000,1.862936,-0.002159,0.016204,0.000000
3.030000,1.862936,-0.004396,0.031234,0.000000
3.040000,1.862936,-0.008890,0.272778,0.000000
3.050000,1.862936,0.010267,-0.081863,0.000000
3.060000,1.862936,0.003460,0.684102,0.000000
3.070000,1.862936,-0.004156,0.097346,0.000000
3.080000,1.862936,-0.010613,-0.338462,0.000000
3.090000,1.862936,-0.004396,-0.025292,0.000000
3.100000,1.862936,-0.000070,0.034688,0.000000
3.110000,1.862936,-0.008218,-1.010012,0.000000
3.120000,1.862936,-0.004396,0.136966,0.000000
3.130000,1.862936,0.004260,0.146265,0.000000
3.140000,1.862936,-0.004396,-0.112334,0.000000
3.150000,1.862936,-0.004396,0.106274,0.000000
3.160000,1.862936,-0.004396,0.216725,0.000000
3.170000,1.862936,0.000996,-0.058655,0.000000
3.180000,1.862936,0.002461,0.689164,0.000000
3.190000,1.862936,0.004396,-0.120109,0.000000
3.200000,1.862936,-0.004396,-0.024313,0.000000
3.210000,1.862936,-0.011540,-0.295905,0.000000
3.220000,1.862936,-0.011535,0.119164,0.000000
3.230000,1.862936,-0.013187,-0.159635,0.000000
3.240000,1.862936,-0.004396,-0.015626,0.000000
3.250000,1.862936,-0.004396,-0.338462,0.000000
3.260000,1.862936,-0.004396,-0.146505,0.000000
3.270000,1.862936,-0.004396,0.138726,0.000000
3.280000,1.862936,-0.004396,0.058282,0.000000
3.290000,1.862936,-0.011443,-0.301850,0.000000
3.300000,1.862936,-0.004396,0.100276,0.000000
3.310000,1.862936,-0.004396,-0.612138,0.000000
3.320000,1.862936,-0.005220,-0.142300,0.000000
3.330000,1.862936,-0.012568,-0.295125,0.000000
3.340000,1.862936,-0.008985,-0.191386,0.000000
3.350000,1.862936,-0.004221,0.267156,0.000000
3.360000,1.862936,-0.004396,0.117956,0.000000
3.370000,1.862936,-0.004396,-0.276664,0.000000
3.380000,1.862936,-0.013187,-0.092204,0.000000
3.390000,1.862936,-0.011458,-0.009674,0.000000
3.400000,1.862936,-0.002004,0.092308,0.000000
3.410000,1.862936,-0.004396,-0.215385,0.000000
3.420000,1.862936,-0.004396,0.236111,0.000000
3.430000,1.862936,-0.004396,-0.309715,0.000000
3.440000,1.862936,0.004396,-0.136131,0.000000
3.450000,1.862936,-0.013187,0.267926,0.000000
3.460000,1.862936,-0.012857,-0.149225,0.000000
3.470000,1.862936,-0.004396,0.265823,0.000000
3.480000,1.862936,0.003268,-0.030769,0.000000
3.490000,1.862936,-0.004396,-0.884215,0.000000
3.500000,1.862936,-0.013187,-0.617214,0.000000
3.510000,1.862936,-0.004396,-0.044642,0.000000
3.520000,1.862936,-0.013187,-0.360964,0.000000
3.530000,1.862936,-0.004396,-0.191046,0.000000
3.540000,1.862936,-0.009122,-0.215385,0.000000
3.550000,1.862936,0.004396,-0.071977,0.000000
3.560000,1.862936,-0.006473,-0.103462,0.000000
3.570000,1.862936,-0.012579,0.151718,0.000000
3.580000,1.862936,-0.002788,0.142592,0.000000
3.590000,1.862936,-0.013187,0.267490,0.000000
3.600000,1.862936,0.002091,0.338462,0.000000
3.610000,1.862936,-0.010384,-0.293041,0.000000
3.620000,1.862936,-0.011378,0.115858,0.000000
3.630000,1.862936,-0.004396,-0.064490,0.000000
3.640000,1.862936,-0.004396,-0.083802,0.000000
3.650000,1.862936,-0.011061,-0.272907,0.000000
3.660000,1.862936,-0.005698,-0.573218,0.000000
3.670000,1.862936,-0.018696,0.092308,0.000000
3.680000,1.862936,-0.004396,0.010059,0.000000
3.690000,1.862936,-0.006507,-0.338462,0.000000
3.700000,1.862936,-0.009649,0.007498,0.000000
3.710000,1.862936,-0.001279,-0.066576,0.000000
3.720000,1.862936,-0.004396,0.308396,0.000000
3.730000,1.862936,-0.004396,-0.072302,0.000000
3.740000,1.862936,-0.004396,0.250858,0.000000
3.750000,1.862936,0.000346,0.361966,0.000000
3.760000,1.862936,-0.013187,0.153846,0.000000
3.770000,1.862936,0.000977,-0.170954,0.000000
3.780000,1.862936,-0.004396,-0.288075,0.000000
3.790000,1.862936,-0.004185,-0.328139,0.000000
3.800000,1.862936,0.002474,0.236566,0.000000
3.810000,1.862936,-0.013187,0.312252,0.000000
3.820000,1.862936,-0.006753,0.329542,0.000000
3.830000,1.862936,-0.010672,-0.303254,0.000000
3.840000,1.862936,-0.003248,0.528388,0.000000
3.850000,1.862936,0.002196,0.184637,0.000000
3.860000,1.862936,-0.004396,0.092308,0.000000
3.870000,1.862936,-0.002869,0.175225,0.000000
3.880000,1.862936,-0.010507,-0.022553,0.000000
3.890000,1.862936,0.004396,-0.305901,0.000000
3.900000,1.862936,-0.001179,0.338462,0.000000
3.910000,1.862936,-0.009577,0.338462,0.000000
3.920000,1.862936,-0.005882,0.245715,0.000000
3.930000,1.862936,-0.009610,0.078742,0.000000
3.940000,1.862936,-0.004396,0.395694,0.000000
3.950000,1.862936,0.004396,0.067632,0.000000
3.960000,1.862936,0.004396,0.419704,0.000000
3.970000,1.862936,-0.004396,-0.224349,0.000000
3.980000,1.862936,-0.001382,-0.116914,0.000000
3.990000,1.862936,-0.005009,0.291258,0.000000
4.000000,1.862936,-0.004396,-0.370359,0.000000
4.010000,1.862936,-0.013187,-0.028989,0.000000
4.020000,1.862936,-0.004958,-0.165663,0.000000
4.030000,1.862936,-0.006759,-0.170389,0.000000
4.040000,1.862936,-0.007784,-0.025648,0.000000
4.050000,1.862936,0.003739,0.411013,0.000000
4.060000,1.862936,-0.007273,-0.195245,0.000000
4.070000,1.862936,-0.004396,0.181541,0.000000
4.080000,1.862936,-0.006795,-0.080994,0.000000
4.090000,1.862936,-0.010708,-0.355811,0.000000
4.100000,1.862936,-0.007511,-0.304994,0.000000
4.110000,1.862936,-0.004396,0.274044,0.000000
4.120000,1.862936,0.003502,0.185114,0.000000
4.130000,1.862936,-0.009747,-0.038761,0.000000
4.140000,1.862936,-0.011816,-0.348060,0.000000
4.150000,1.862936,0.003137,0.101119,0.000000
4.160000,1.862936,0.002815,-0.227811,0.000000
4.170000,1.862936,0.008612,-0.030769,0.000000
4.180000,1.862936,-0.002965,-0.165328,0.000000
4.190000,1.862936,0.004344,0.581737,0.000000
4.200000,1.862936,-0.004590,-0.034854,0.000000
4.210000,1.862936,-0.001622,-0.014299,0.000000
4.220000,1.862936,0.001099,0.276929,0.000000
4.230000,1.862936,-0.004396,0.364352,0.000000
4.240000,1.862936,-0.007359,-0.111657,0.000000
4.250000,1.862936,0.003103,0.434401,0.000000
4.260000,1.862936,-0.004396,-0.228827,0.000000
4.270000,1.862936,0.003223,0.145635,0.000000
4.280000,1.862936,-0.006680,-0.670889,0.000000
4.290000,1.862936,-0.004396,0.023971,0.000000
4.300000,1.862936,-0.007663,0.162579,0.000000
4.310000,1.862936,-0.001022,-0.645501,0.000000
4.320000,1.862936,-0.004396,-0.030769,0.000000
4.330000,1.862936,0.003964,-1.561342,0.000000
4.340000,1.862936,-0.012355,-0.197908,0.000000
4.350000,1.862936,0.004396,-0.248714,0.000000
4.360000,1.862936,-0.011071,-0.316249,0.000000
4.370000,1.862936,-0.002881,-0.100841,0.000000
4.380000,1.862936,-0.000245,-0.208530,0.000000
4.390000,1.862936,-0.008661,0.055172,0.000000
4.400000,1.862936,-0.002479,-0.230640,0.000000
4.410000,1.862936,-0.004396,-0.000088,0.000000
