,Time (sec),Angle (rad),Speed (rad/sec),Current (units)
14294,8.849471685000026,513.9418552116294,149.36527738567472,12
14295,8.849981250001292,514.0116513374783,146.79964338524306,2
14296,8.850475949999236,514.0921853288422,150.02850250143257,12
14297,8.851021629998286,514.1715688346153,153.34462808022178,8
14298,8.851468417000433,514.2498018547975,155.7182758629341,6
14299,8.851977356000134,514.3261173989948,159.69762655748116,8
14300,8.852479075001611,514.3966805152376,150.86626054238985,9
14301,8.852993914999388,514.4733795546318,151.02334017506934,13
14302,8.85347253999862,514.5404912141018,144.44344889505072,12
14303,8.853980897001748,514.61795724389,145.5255530312872,6
14304,8.854473174000304,514.6877533697389,144.93214108560912,7
14305,8.85501839599965,514.7656028947241,145.281206936008,9
14306,8.85549082199941,514.8396174677396,150.83135395734996,15
14307,8.856004900000698,514.9147825263459,147.72466788880004,5
14308,8.856475487998978,514.9999184600736,154.89797111449676,-1
14309,8.85698518999925,515.074700023483,156.1197015908928,11
14310,8.857470047998504,515.156384500438,160.62265106103814,4
14311,8.85798559199975,515.2257971310897,156.06734171333295,8
14312,8.858471963001648,515.3063311224538,150.79644737231007,11
14313,8.858999553998729,515.3761272483025,151.47712578058787,9
14314,8.859471414001746,515.4535932780908,147.56758825612056,10
14315,8.859982566998951,515.5291418318941,151.59929882822746,11
14316,8.860473684999306,515.6020059193187,148.57987922227727,13
14317,8.860982521000551,515.6863748626524,152.96065564478303,4
14318,8.861476526999468,515.7603894356679,154.53145197157795,17
14319,8.861983437000163,515.8485933309713,159.8372528976407,11
14320,8.862470361000305,515.9183894568201,160.79718398623757,4
14321,8.863002087000496,515.9981564577902,155.87535549561358,13
14322,8.863486449998163,516.0725545260026,153.69369393062067,4
14323,8.86399510299816,516.1435011374423,149.24310433803512,8
14324,8.864472845998534,516.2248021192003,150.09831567151235,1
14325,8.86498203299925,516.2934477594581,148.7893187325166,9
14326,8.865475210001023,516.3789671883828,152.3846969916249,14
14327,8.865982379000343,516.4476128286407,153.30972149518192,15
14328,8.8664089720005,516.5323652671714,153.39698795778162,11
14329,8.86680153999987,516.5925740130958,157.70795121020763,18
14330,8.867166584001097,516.6462633406719,156.03243512829306,7
14331,8.86754203899909,516.7053216010055,157.76031108776743,5
14332,8.867907591000403,516.763612870945,156.6956602440509,12
14333,8.868374427998788,516.8127002561574,151.09315334514912,11
14334,8.868864167001448,516.8936177427184,148.47515946715762,4
14335,8.869373265999457,516.9614963925824,148.84167861007643,4
14336,8.869868131001567,517.0381954319766,146.1713248545251,8
14337,8.870365331000357,517.112976995386,149.17329116795534,6
14338,8.870784578000894,517.1854575876137,147.23597569824165,11
14339,8.871255062000273,517.2495012855079,151.12805993018898,7
14340,8.871859745999245,517.3438411039629,154.46163880149817,9
14341,8.87234552999871,517.4285935424936,158.87732180904382,8
14342,8.872859883998899,517.4957052019636,156.80037999917056,19
14343,8.873341594000522,517.5739382221457,151.09315334514912,9
14344,8.873854352001217,517.6441178431915,148.3878930045579,1
14345,8.874360942998464,517.7150644546311,144.67034169781,18
14346,8.874801358000695,517.7929139796164,145.7698991265664,2
14347,8.875165716999618,517.8420013648287,145.1241273033285,5
14348,8.875541422999959,517.9025936059502,145.4033799836476,6
14349,8.875956107000093,517.9620353614807,150.46483481443116,4
14350,8.87648742500096,518.0310644969356,147.96901398407925,10
14351,8.876974194001377,518.1169674210572,153.78096039322037,4
14352,8.877487466001185,518.1948169460425,155.6484626928543,9
14353,8.877967404998344,518.2742004518155,160.39575825827887,17
14354,8.878479867998976,518.3493655104219,159.0693080267632,12
14355,8.878959607998695,518.4222295978465,151.2851395628685,6
14356,8.87947770000028,518.4996956276347,152.59413650186423,13
14357,8.880003918999137,518.5706422390743,146.66001704508352,11
14358,8.880488563001563,518.6507927352415,151.82619163098673,9
14359,8.880987079999613,518.7213558514842,148.19590678683852,7
14360,8.881479782998213,518.8034238236361,151.86109821602662,5
14361,8.881996762000199,518.8808898534243,154.07766636605942,10
14362,8.882496089001506,518.964491806364,157.41124523736858,11
14363,8.882991860999027,519.0415743409553,162.87412579611083,9
14364,8.88349924800059,519.1152054187738,155.9277153731734,10
14365,8.883991419999802,519.1945889245469,156.049888420813,19
14366,8.884503221001069,519.2636180600017,149.62707677347387,14
14367,8.88499230099842,519.3430015657748,150.203035426632,5
14368,8.885497781000595,519.4150986628055,149.41763726323455,12
14369,8.88599158299985,519.4952491589725,149.7667031136334,10
14370,8.886497233001137,519.5700307223818,154.9677842845765,3
14371,8.886991000999842,519.6471132569732,150.70918090971037,9
14372,8.887478592998377,519.7310987051098,157.51596499248825,9
14373,8.887993967000511,519.8028123069436,155.54374293773466,11
14374,8.888474290000886,519.8829628031106,157.28907218972898,6
14375,8.888983122000354,519.9512249481714,151.2502329778286,10
14376,8.88948044100107,520.0302249587476,148.00392056911915,10
14377,8.889989094001066,520.1000210845964,149.22565104551518,17
14378,8.890470811998966,520.1751861432027,145.70008595648662,6
14379,8.890993627999705,520.2511181922031,149.5223570183542,2
14380,8.891476594999403,520.3228317940368,146.86945655532284,9
14381,8.891984693000268,520.4068172421735,151.66911199830724,9
14382,8.89247240899931,520.4808318151889,154.18238612117906,-1
14383,8.892983515001106,520.5648172633257,157.8650308428871,7
14384,8.893473449999874,520.6326959131897,157.14944584956945,3
14385,8.893983105001098,520.7101619429778,150.25539530419184,9
14386,8.8944817470001,520.7811085544176,148.73695885495675,2
14387,8.895005522001156,520.8509046802664,144.356182432451,7
14388,8.895493747000728,520.9295211956455,145.63027278640686,12
14389,8.895992087000195,520.9962493599186,144.49580877261053,9
14390,8.896498452999367,521.0798513128583,147.91665410651942,8
14391,8.896992629001033,521.1473464675253,149.36527738567472,9
14392,8.897479286999442,521.2309484204651,150.4473815219112,11
14393,8.897970019999775,521.311482411829,155.19467708733578,-3
14394,8.898482008000428,521.3877979560264,158.21409669328597,12
14395,8.898965886000951,521.4675649569964,160.09905228543985,1
14396,8.899480937998305,521.5358271020573,152.71630954950385,6
14397,8.899963709998701,521.6182785694062,151.86109821602662,5
14398,8.900480584001343,521.6850067336792,148.14354690927868,9
14399,8.900966224999138,521.7663077154372,149.74924982111347,5
14400,8.901488537998375,521.8372543268769,149.13838458291545,13
14401,8.901969636001013,521.9151038518621,150.0808623789924,2
14402,8.902481280998472,521.9967883288169,153.60642746802094,4
14403,8.902970014001767,522.0738708634083,155.33430342749534,7
